City_ID,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Codajas,BR,77.76,-3.84,-62.06,91,32,2.53
1,Clyde,NZ,40.27,-45.19,169.32,68,32,2.42
2,Castro,CL,50.76,-42.48,-73.76,98,80,2.64
3,Cape Town,ZA,80.6,-33.93,18.42,51,0,6.93
4,Albany,US,40.53,42.65,-73.75,64,90,4.76
6,Lebu,ET,64.4,8.96,38.73,48,40,9.17
7,Yugorsk,RU,40.99,61.32,63.33,62,0,12.48
8,Busselton,AU,70.78,-33.64,115.35,78,0,18.97
9,Solnechnyy,RU,43.74,50.72,136.64,97,92,8.79
10,Risor,NO,35.68,58.72,9.23,93,0,11.48
11,Buraydah,SA,71.6,26.33,43.97,64,40,20.8
12,Vao,EE,35.46,59.1,26.19,96,76,10.47
13,Punta Arenas,CL,44.6,-53.16,-70.91,93,90,4.7
14,Teya,MX,75.2,21.05,-89.07,78,5,4.7
15,Udachnyy,RU,18,66.42,112.4,73,44,5.55
16,Varkaus,FI,30.2,62.32,27.87,92,20,3.36
17,Nanortalik,GL,38.02,60.14,-45.24,89,92,21.09
18,Calatayud,ES,53.6,41.35,-1.64,87,90,4.7
20,Bredasdorp,ZA,71.6,-34.53,20.04,73,12,19.46
21,Ushuaia,AR,46.4,-54.81,-68.31,75,75,13.87
22,Hilo,US,62.51,19.71,-155.08,94,90,15.61
23,Ternate,PH,89.6,14.29,120.72,59,40,5.82
24,Arlit,NE,90.13,18.74,7.39,30,48,4.76
25,Longyearbyen,NO,21.2,78.22,15.63,62,40,8.05
26,Hobart,AU,50,-42.88,147.33,39,20,18.34
27,Jamestown,AU,65.11,-33.21,138.6,56,92,2.98
28,Rikitea,PF,72.72,-23.12,-134.97,100,56,11.25
29,Jiwani,PK,88.74,25.05,61.74,57,0,7.9
30,Guerrero Negro,MX,60.84,27.97,-114.04,90,0,4.99
31,Kapit,MY,78.34,2.02,112.94,93,20,2.08
32,Vaini,IN,91.48,15.34,74.49,27,0,10.8
33,Dikson,RU,23.53,73.51,80.55,100,76,32.17
34,Katsuura,JP,65.82,33.93,134.5,45,40,21.92
36,Bay Roberts,CA,35.6,47.58,-53.28,80,20,9.17
37,Mataura,NZ,46.35,-46.19,168.86,96,76,2.64
38,Touros,BR,78.21,-5.2,-35.46,82,0,12.48
39,Durban,FR,47.61,43.54,0.58,93,100,4.7
